date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_team_clean,away_team_clean,result
1991-05-12,New Zealand,Australia,0,1,Trans-Tasman Cup,,New Zealand,False,New Zealand,Australia,away_win
1991-05-15,Australia,New Zealand,2,1,Trans-Tasman Cup,,Australia,False,Australia,New Zealand,home_win
1991-05-19,United States,Argentina,0,1,Friendly,,United States,False,USA,Argentina,away_win
1991-05-25,England,Argentina,2,2,Friendly tournament,,England,False,England,Argentina,draw
1991-06-01,Australia,England,0,1,Friendly,,Australia,False,Australia,England,away_win
1991-06-03,New Zealand,England,0,1,Friendly,,New Zealand,False,New Zealand,England,away_win
1991-06-07,South Korea,Egypt,0,0,Presidents Cup,,South Korea,False,Korea Republic,Egypt,draw
1991-06-08,New Zealand,England,0,2,Friendly,,New Zealand,False,New Zealand,England,away_win
1991-06-09,Ivory Coast,Senegal,2,0,CEDEAO Cup qualifier,,Ivory Coast,False,Côte d'Ivoire,Senegal,home_win
1991-06-14,South Korea,Australia,0,0,Presidents Cup,,South Korea,False,Korea Republic,Australia,draw
1991-06-16,South Korea,Egypt,2,0,Presidents Cup,,South Korea,False,Korea Republic,Egypt,home_win
1991-06-27,Brazil,Argentina,1,1,Friendly,,Brazil,False,Brazil,Argentina,draw
1991-06-30,Mexico,Canada,3,1,CONCACAF Championship,,United States,True,Mexico,Canada,home_win
1991-07-05,United States,Mexico,2,0,CONCACAF Championship,,United States,False,USA,Mexico,home_win
1991-07-07,Colombia,Ecuador,1,0,Copa America,,Chile,True,Colombia,Ecuador,home_win
1991-07-09,Ecuador,Uruguay,1,1,Copa America,,Chile,True,Ecuador,Uruguay,draw
1991-07-11,Brazil,Uruguay,1,1,Copa America,,Chile,True,Brazil,Uruguay,draw
1991-07-12,Argentina,Paraguay,4,1,Copa America,,Chile,True,Argentina,Paraguay,home_win
1991-07-13,Colombia,Brazil,2,0,Copa America,,Chile,True,Colombia,Brazil,home_win
1991-07-15,Uruguay,Colombia,1,0,Copa America,,Chile,True,Uruguay,Colombia,home_win
1991-07-15,Brazil,Ecuador,3,1,Copa America,,Chile,True,Brazil,Ecuador,home_win
1991-07-17,Argentina,Brazil,3,2,Copa America,,Chile,True,Argentina,Brazil,home_win
1991-07-19,Brazil,Colombia,2,0,Copa America,,Chile,True,Brazil,Colombia,home_win
1991-07-21,Argentina,Colombia,2,1,Copa America,,Chile,True,Argentina,Colombia,home_win
1991-07-26,Egypt,Tunisia,2,2,African Nations Cup qualifier,,Egypt,False,Egypt,Tunisia,draw
1991-07-27,Japan,South Korea,0,1,Friendly,,Japan,False,Japan,Korea Republic,away_win
1991-07-28,Ivory Coast,Morocco,2,0,African Nations Cup qualifier,,Ivory Coast,False,Côte d'Ivoire,Morocco,home_win
1991-09-04,Spain,Uruguay,2,1,Friendly,,Spain,False,Spain,Uruguay,home_win
1991-09-04,Portugal,Austria,1,1,Friendly,,Portugal,False,Portugal,Austria,draw
1991-09-11,Switzerland,Scotland,2,2,European Championship qual,,Switzerland,False,Switzerland,Scotland,draw
1991-09-11,England,Germany,0,1,Friendly,,England,False,England,Germany,away_win
1991-09-27,Iran,Algeria,2,1,Afro-Asian Cup,,Iran,False,IR Iran,Algeria,home_win
1991-10-12,Spain,France,1,2,European Championship qual,,Spain,False,Spain,France,away_win
1991-10-13,Algeria,Iran,1,0,Afro-Asian Cup,,Algeria,False,Algeria,IR Iran,home_win
1991-10-16,Netherlands,Portugal,1,0,European Championship qual,,Netherlands,False,Netherlands,Portugal,home_win
1991-10-31,Senegal,Ghana,3,2,CEDEAO Cup,,Ivory Coast,True,Senegal,Ghana,home_win
1991-11-02,Ivory Coast,Senegal,1,0,CEDEAO Cup,,Ivory Coast,False,Côte d'Ivoire,Senegal,home_win
1991-11-20,Mexico,Uruguay,1,1,Friendly,,Mexico,False,Mexico,Uruguay,draw
1991-11-20,Belgium,Germany,0,1,European Championship qual,,Belgium,False,Belgium,Germany,away_win
1991-11-27,Senegal,Cape Verde,0,0,Amilcar Cabral Cup,,Senegal,False,Senegal,Cabo Verde,draw
1991-11-27,Tunisia,Ivory Coast,5,3,Friendly,,Tunisia,False,Tunisia,Côte d'Ivoire,home_win
1991-12-02,Senegal,Cape Verde,1,0,Amilcar Cabral Cup,,Senegal,False,Senegal,Cabo Verde,home_win
1991-12-16,Algeria,Senegal,3,1,Friendly,,Algeria,False,Algeria,Senegal,home_win
1991-12-26,Morocco,Algeria,1,1,Friendly,,Morocco,False,Morocco,Algeria,draw
1992-01-07,Egypt,Norway,0,0,Friendly,,Egypt,False,Egypt,Norway,draw
1992-01-13,Ivory Coast,Algeria,3,0,African Nations Cup,,Senegal,True,Côte d'Ivoire,Algeria,home_win
1992-01-15,Portugal,Spain,0,0,Friendly,,Portugal,False,Portugal,Spain,draw
1992-01-17,Ghana,Egypt,1,0,African Nations Cup,,Senegal,True,Ghana,Egypt,home_win
1992-01-26,Ghana,Ivory Coast,0,0,African Nations Cup,,Senegal,True,Ghana,Côte d'Ivoire,draw
1992-02-12,Portugal,Netherlands,2,0,Friendly,,Portugal,False,Portugal,Netherlands,home_win
1992-02-19,England,France,2,0,Friendly,,England,False,England,France,home_win
1992-02-26,Tunisia,Belgium,2,1,Friendly,,Tunisia,False,Tunisia,Belgium,home_win
1992-02-26,Brazil,United States,3,0,Friendly,,Brazil,False,Brazil,USA,home_win
1992-03-11,Spain,United States,2,0,Friendly,,Spain,False,Spain,USA,home_win
1992-03-18,Morocco,United States,3,1,Friendly,,Morocco,False,Morocco,USA,home_win
1992-03-25,France,Belgium,3,3,Friendly,,France,False,France,Belgium,draw
1992-04-30,Uruguay,Brazil,1,0,Friendly,,Uruguay,False,Uruguay,Brazil,home_win
1992-05-17,United States,Scotland,0,1,Friendly,,United States,False,USA,Scotland,away_win
1992-05-17,England,Brazil,1,1,Friendly,,England,False,England,Brazil,draw
1992-05-20,Canada,Scotland,1,3,Friendly,,Canada,False,Canada,Scotland,away_win
1992-05-27,Netherlands,Austria,3,2,Friendly,,Netherlands,False,Netherlands,Austria,home_win
1992-05-27,Switzerland,France,2,1,Friendly,,Switzerland,False,Switzerland,France,home_win
